"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"System Tests","Places Tests","User must see created lists","0","0","1","0","0"
"Controller Tests","Places Tests","Add list to added","0","0","3","0","0"
"Controller Tests","Places Tests","Get all places lists","0","0","2","0","0"
"Service Tests","Places Tests","Get places lists by user","0","0","1","0","0"
"Service Tests","Places Tests","Get all places lists","0","0","1","0","0"
"Controller Tests","Places Tests","Add places list","0","0","3","0","0"
"Controller Tests","Authorization Tests","Get current user","0","0","2","0","0"
"Controller Tests","Places Tests","Get place lists","0","0","2","0","0"
"Controller Tests","Places Tests","Remove list from added","0","0","3","0","0"
"Controller Tests","Authorization Tests","Sign up","0","0","2","0","0"
"System Tests","Authorization Tests","User must sign up/sign in/sing out only with correct data","0","0","1","0","0"
"Service Tests","Authorization Tests","Sign in","0","0","1","0","0"
"Controller Tests","Authorization Tests","Sign in","0","0","2","0","0"
"Service Tests","Authorization Tests","Sign up","0","0","1","0","0"
"Service Tests","Places Tests","Add place","0","0","1","0","0"
"Service Tests","Places Tests","Remove list from added","0","0","1","0","0"
"Service Tests","Places Tests","Get places list with place by id","0","0","1","0","0"
"Service Tests","Places Tests","Add list to added","0","0","1","0","0"
"Service Tests","Places Tests","Add places list","0","0","1","0","0"
