"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 15 10:39:38 GMT 2021","Wed Dec 15 10:39:38 GMT 2021","60","","Controller Authorization Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.controller.AuthorizationControllerTest","sign up success","Sign up with correct data",""
"passed","Wed Dec 15 10:39:37 GMT 2021","Wed Dec 15 10:39:37 GMT 2021","2","","Service Places Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.service.PlacesServiceTest","remove list from added","Remove list from added",""
"passed","Wed Dec 15 10:39:39 GMT 2021","Wed Dec 15 10:39:39 GMT 2021","8","","Controller Places Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.controller.PlacesControllerTest","remove list from added when unauthorized","Remove list from added (unauthorized)",""
"passed","Wed Dec 15 10:44:05 GMT 2021","Wed Dec 15 10:44:06 GMT 2021","775","","a11y/Accessibility.spec.mjs","A11y","","","Sign in accessibility",""
"passed","Wed Dec 15 10:44:11 GMT 2021","Wed Dec 15 10:44:13 GMT 2021","1566","","SignUp.spec.mjs","Sign up","","","Sing up, sign out, sign in and check session",""
"passed","Wed Dec 15 10:39:39 GMT 2021","Wed Dec 15 10:39:39 GMT 2021","12","","Controller Places Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.controller.PlacesControllerTest","add list to added with exception","Add list to added (exception)",""
"passed","Wed Dec 15 10:39:06 GMT 2021","Wed Dec 15 10:39:06 GMT 2021","2","","Places Service (Client)","","Places Service (Client)","getPlacesLists","getPlacesLists",""
"passed","Wed Dec 15 10:44:09 GMT 2021","Wed Dec 15 10:44:11 GMT 2021","1782","","PlacesList.spec.mjs","Places lists","","","Add new places list with place",""
"passed","Wed Dec 15 10:39:05 GMT 2021","Wed Dec 15 10:39:05 GMT 2021","27","","<PlacesList/>","","<PlacesList/>","render other places list when unauthorized","render other places list when unauthorized",""
"passed","Wed Dec 15 10:39:07 GMT 2021","Wed Dec 15 10:39:07 GMT 2021","9","","<Preview/>","","<Preview/>","render authorized preview","render authorized preview",""
"passed","Wed Dec 15 10:39:37 GMT 2021","Wed Dec 15 10:39:37 GMT 2021","4","","Service Places Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.service.PlacesServiceTest","add places list","Add places list",""
"passed","Wed Dec 15 10:39:05 GMT 2021","Wed Dec 15 10:39:05 GMT 2021","53","","<PlacesList/>","","<PlacesList/>","render other places list when not added","render other places list when not added",""
"passed","Wed Dec 15 10:39:38 GMT 2021","Wed Dec 15 10:39:38 GMT 2021","100","","Controller Authorization Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.controller.AuthorizationControllerTest","sign in failed","Sign in with incorrect data",""
"passed","Wed Dec 15 10:39:38 GMT 2021","Wed Dec 15 10:39:38 GMT 2021","7","","Controller Authorization Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.controller.AuthorizationControllerTest","current user when unauthorized","Current user when unauthorized",""
"passed","Wed Dec 15 10:39:05 GMT 2021","Wed Dec 15 10:39:05 GMT 2021","19","","<AllPlacesLists/>","","<AllPlacesLists/>","render all places lists","render all places lists",""
"passed","Wed Dec 15 10:39:39 GMT 2021","Wed Dec 15 10:39:39 GMT 2021","22","","Controller Places Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.controller.PlacesControllerTest","add places list","Add places list",""
"passed","Wed Dec 15 10:44:04 GMT 2021","Wed Dec 15 10:44:05 GMT 2021","1248","","a11y/Accessibility.spec.mjs","A11y","","","Home accessibility",""
"passed","Wed Dec 15 10:39:08 GMT 2021","Wed Dec 15 10:39:08 GMT 2021","20","","<PlaceItem/>","","<PlaceItem/>","render place item","render place item",""
"passed","Wed Dec 15 10:39:37 GMT 2021","Wed Dec 15 10:39:37 GMT 2021","8","","Service Places Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.service.PlacesServiceTest","get places list with place by id","Get places list with place by id",""
"passed","Wed Dec 15 10:39:39 GMT 2021","Wed Dec 15 10:39:39 GMT 2021","9","","Controller Places Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.controller.PlacesControllerTest","get places list with error","Get place lists (error)",""
"passed","Wed Dec 15 10:39:07 GMT 2021","Wed Dec 15 10:39:07 GMT 2021","8","","<Preview/>","","<Preview/>","render unauthorized preview","render unauthorized preview",""
"passed","Wed Dec 15 10:39:05 GMT 2021","Wed Dec 15 10:39:05 GMT 2021","6","","<AllPlacesLists/>","","<AllPlacesLists/>","render empty places lists","render empty places lists",""
"passed","Wed Dec 15 10:39:08 GMT 2021","Wed Dec 15 10:39:08 GMT 2021","17","","<SignIn/>","","<SignIn/>","render sign in page","render sign in page",""
"passed","Wed Dec 15 10:39:07 GMT 2021","Wed Dec 15 10:39:07 GMT 2021","11","","<MainPage/>","","<MainPage/>","render unauthorized main page","render unauthorized main page",""
"passed","Wed Dec 15 10:39:05 GMT 2021","Wed Dec 15 10:39:05 GMT 2021","52","","<PlacesList/>","","<PlacesList/>","render other places list when added","render other places list when added",""
"passed","Wed Dec 15 10:39:39 GMT 2021","Wed Dec 15 10:39:39 GMT 2021","22","","Controller Places Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.controller.PlacesControllerTest","get places list","Get place lists",""
